image,old_class,new_class,text,entity_value,entity_field
X00016469612,ITEM,COMPANY,BOOK TA .K(TAMAN DAYA) SDN BND,BOOK TA .K (TAMAN DAYA) SDN BHD,company
X00016469612,OTHER,TOTAL,9.000,9.00,total
X00016469612,OTHER,ADDRESS,"NO.53 55,57 & 59, JALAN SAGU 18,","NO.53 55,57 & 59, JALAN SAGU 18, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR.",address
X00016469619,ITEM,COMPANY,INDAH GIFT & HOME DECO,INDAH GIFT & HOME DECO,company
X00016469619,LINE_TOTAL,TOTAL,60.30,60.30,total
X00016469620,ITEM,COMPANY,MR D.T.Y. (JOHOR) SDN BHD,MR D.I.Y. (JOHOR) SDN BHD,company
X00016469620,LINE_TOTAL,TOTAL,RM 33.90,33.90,total
X00016469622,ITEM,COMPANY,YONGFATT ENTERPRISE,YONGFATT ENTERPRISE,company
X00016469622,LINE_TOTAL,TOTAL,80.90,80.90,total
X00016469623,ITEM,COMPANY,MR D.I.Y. (M) SDN BHD,MR D.I.Y. (M) SDN BHD,company
X00016469623,LINE_TOTAL,TOTAL,RM 30.90,30.90,total
X00016469669,ITEM,COMPANY,ABC HO TRADING,ABC HO TRADING,company
X00016469669,LINE_TOTAL,TOTAL,31.00,31.00,total
X00016469672,ITEM,COMPANY,SOON HUAT MACHINERY ENTERPRISE,SOON HUAT MACHINERY ENTERPRISE,company
X00016469672,LINE_TOTAL,TOTAL,327.00,327.00,total
X00016469676,ITEM,COMPANY,S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,company
X00016469676,LINE_TOTAL,TOTAL,20.00,20.00,total
X00016469676,ITEM,ADDRESS,"NO. 343, JALAN KURAU, SUNGAI RENGIT,","NO. 343, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERANG, JOHOR.",address
X51005200938,ITEM,COMPANY,PERNIAGAAN ZHENG HUI,PERNIAGAAN ZHENG HUI,company
X51005200938,LINE_TOTAL,TOTAL,112.45,112.45,total
X51005200938,ITEM,ADDRESS,BANDAR BARU PERMAS JAYA,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81760 JOHOR BAHRU,address
X51005230617,ITEM,COMPANY,GERBANG ALAF RESTAURANTS SDN BHD,GERBANG ALAF RESTAURANTS SDN BHD,company
X51005230617,LINE_TOTAL,TOTAL,26.60,26.60,total
X51005230617,ITEM,ADDRESS,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3","LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR",address
X51005255805,ITEM,COMPANY,SAM SAM TRADING CO,SAM SAM TRADING CO,company
